stock_code,stock_name,board,market,industry,concepts,first_seen,last_seen,data_source
600586,金晶科技,沪主板,SH,玻璃玻纤,科技,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600587,新华医疗,沪主板,SH,医疗器械,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600588,用友网络,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600589,大位科技,沪主板,SH,IT服务Ⅱ,科技,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600590,泰豪科技,沪主板,SH,军工电子Ⅱ,科技,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600592,龙溪股份,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600593,大连圣亚,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600594,益佰制药,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600595,中孚实业,沪主板,SH,工业金属,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600596,新安股份,沪主板,SH,农化制品,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600597,光明乳业,沪主板,SH,饮料乳品,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600598,北大荒,沪主板,SH,种植业,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600600,青岛啤酒,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600601,方正科技,沪主板,SH,元件,科技,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600602,云赛智联,沪主板,SH,软件开发,科技,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600603,广汇物流,沪主板,SH,物流,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600604,市北高新,沪主板,SH,房地产开发,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600605,汇通能源,沪主板,SH,一般零售,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600606,绿地控股,沪主板,SH,房地产开发,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600607,上实医药,沪主板,SH,-,,2026-06-17 10:05:32,2026-06-17 10:05:32,eastmoney_push2_snapshot
